"id_code","code_X","code_XY","code_XYY","code_XYYY","Beschreibung"
818,A,3,0,6,Wissenschaft und Technik
819,A,3,0,7,"Gesundheitschutz, Fürsorge, Wohltätigkeit"
820,A,3,0,8,Kirche
821,A,3,0,9,Sitten und Bräuche
822,A,3,1,8,?
823,A,3,3,2,?
824,A,3,3,3,?
825,A,3,4,6,?
826,A,3,4,9,Kriminalchronik
827,A,3,6,5,?
828,A,3,6,6,?
829,A,3,6,7,?
830,A,3,6,8,?
831,A,3,7,6,?
832,A,3,7,8,?
833,A,3,8,5,?
834,A,3,8,8,?
835,A,3,9,3,?
836,A,3,9,5,Transportkatastrophen
837,A,3,9,7,Epidemien
838,A,4,0,5,?
839,A,4,0,8,?
840,A,4,3,9,?
841,A,5,0,1,?
842,A,5,0,2,?
843,A,5,0,3,?
844,A,5,0,5,?
845,A,5,0,6,?
846,A,5,2,5,?
847,A,5,2,7,?
848,A,6,0,1,?
849,A,6,0,6,?
850,A,6,0,7,?
851,A,6,0,8,?
852,A,6,2,1,?
853,A,6,2,8,?
854,A,6,3,6,?
855,A,6,3,7,?
856,A,6,3,8,?
857,A,6,4,6,?
858,A,6,5,8,?
859,A,6,8,8,?
860,A,6,9,8,?
861,A,7,0,3,?
862,A,7,0,4,?
863,A,7,0,5,?
864,A,7,0,6,?
865,A,7,6,2,?
866,A,7,9,8,?
867,A,9,0,0,?
868,G,0,0,5,?
869,G,1,8,9,?
870,G,3,6,8,?
871,G,4,5,3,?
872,G,5,7,0,?
873,G,6,1,5,?
874,G,9,0,0,?
