"GGG_Code","GGGS_kurz","GGGS_Name","GGGS_Ort","lfd_Nr"
7,SbS,"Schwarzburg-Sondershausen,Ftm.",,233
5,Swf,"Schweinfurt,RSt",,234
8,Swe,"Schwerin,Ftm.",,235
5,Shm,Seinsheim,,236
3,Sim,Simmern,,237
1,Sin,"Sinzendorff,Gft.",,238
3,SB,"Solms-Braunfels,Ftm.",,239
3,SHo,"Solms-Hohensolms,Gft.",,240
3,SLa,"Solms-Laubach,Gft.",,241
3,SR,"Solms-Rödelheim,Gft.",,242
3,Spe,"Speyer,Bm.",,243
2,Spi,"Spiegelberg,Gft.",,244
3,Spo,Sponheim,,245
2,Sta,"Stablo,Abt.",,246
1,Smk,"Steiermark,Hzm.",,247
6,Stn,"Sternstein,Gft.",,248
3,Sto,"Stollberg,Ftm.",,249
7,Stb,"Stollberg,Gft.",,250
6,Sul,Pfalz-Sulzbach,,251
6,Slz,Ober-Sulzburg,,252
2,Te,"Tecklenburg,Gft.",,253
4,Thg,Thengen,,254
2,Tho,"Thorn,Abt.",,255
1,Ti,"Tirol,Gft.",,256
1,Tf,"Trautmannsdorff,Gft.",,257
1,Tt,"Trident,Bm.",,258
2,Tr,"Trier,Kftm.",,259
4,Üb,"Überlingen,RSt",,260
4,Ul,"Ulm,RSt",,261
4,Urs,"Ursberg,Abt.",,262
2,Utr,Utrecht,,263
3,Vel,Veldenz,,264
2,Ve,"Verden,Ftm.",,265
2,Vb,"Virnenberg,Gft.",,266
1,Vbg,Vorarlberg,,267
9,VP,Vorpommern,,268
7,Vor,"Vorpommern,Schweden",,269
7,Wal,"Walckenried,Abt.",,270
3,Wd,"Waldeck, Ftm.",,271
4,Wan,"Wangen,RSt",,272
3,War,"Wartenberg,Gft.",,273
4,Wl,"Weil, RSt",,274
7,SW,Sachsen-Weimar,,275
4,Wgt,"Weingarten,Abt.",,276
4,Wau,"Weissenau,Abt.",,277
5,Wsb,"Weissenburg,RSt",,278
3,Wei,"Weissenburg,Pbt.",,279
1,We,"Weissenwolf,Gft",,280
2,Wr,"Werden,Abt.",,281
9,Wgd,"Wernigerode,Gft.",,282
5,Wer,"Wertheim,Gft.",,283
4,Wet,"Wettenhausen,Pbt.",,284
3,Wez,"Wetzlar,RSt",,285
2,Wid,"Wied,Gft.",,286
2,Wt,"Wickeradt,Hft.",,287
4,Wim,"Wimpfen,RSt",,288
5,Win,"Windsheim,RSt",,289
2,Wb,"Winneburg,Hft.",,290
5,Wis,Wisentheid,,291
2,Wi,"Witten,Hft.",,292
3,WBe,"Wittgenstein-Berlenburg,Gft.",,293
3,WW,"Wittgenstein-Wittgenstein,Gft.",,294
4,Wol,Wolfegg,,295
6,Wfs,Wolfstein,,296
3,Wo,"Worms, Bm.",,297
4,Wü,"Württemberg,Hzm.",,298
5,Wzb,"Würzburg,Bm.",,299
4,Zei,Zeil,,300
4,Zel,"Zell am Hammersbach,RSt",,301
2,Züt,Zütphen,,302
3,Zw,"Zweibrücken,Gft.",,303
4,Zwi,"Zwiefalten,Abt.",,304
5,Ans,"Ansbach, Mgft.",,305
6,PN,Neuburg (Pfalz-Neuburg),,306
9,P,Pommern,,307
6,OP,Oberpfalz,,308
0,\,-,,309
0,D,D,,310
0,E,E,,311
0,F,F,,312
0,G,G,,313
0,H,H,,314
0,I,I,,315
0,K,K,,316
0,L,L,,317
0,M,M,,318
0,N,N,,319
0,S,S,,320
0,X,X,,321
0,Z,Z,,322
1,\,-,,324
1,D,D,,325
1,E,E,,326
1,F,F,,327
1,G,G,,328
1,H,H,,329
1,I,I,,330
1,K,K,,331
1,L,L,,332
1,M,M,,333
1,N,N,,334
1,S,S,,335
1,X,X,,336
1,Z,Z,,337
2,\,-,,338
2,D,D,,339
2,E,E,,340
2,F,F,,341
2,G,G,,342
2,H,H,,343
2,I,I,,344
2,K,K,,345
2,L,L,,346
2,M,M,,347
2,N,N,,348
2,S,S,,349
2,X,X,,350
2,Z,Z,,351
3,\,-,,352
3,D,D,,353
3,E,E,,354
3,F,F,,355
3,G,G,,356
3,H,H,,357
3,I,I,,358
3,K,K,,359
3,L,L,,360
3,M,M,,361
3,N,N,,362
3,S,S,,363
3,X,X,,364
3,Z,Z,,365
4,\,-,,366
4,D,D,,367
4,E,E,,368
4,F,F,,369
4,G,G,,370
4,H,H,,371
4,I,I,,372
4,K,K,,373
4,L,L,,374
4,M,M,,375
4,N,N,,376
4,S,S,,377
4,X,X,,378
4,Z,Z,,379
5,\,-,,380
5,D,D,,381
5,E,E,,382
5,F,F,,383
5,G,G,,384
5,H,H,,385
5,I,I,,386
5,K,K,,387
5,L,L,,388
5,M,M,,389
5,N,N,,390
5,S,S,,391
5,X,X,,392
5,Z,Z,,393
6,\,-,,395
6,D,D,,396
6,E,E,,397
6,F,F,,398
6,G,G,,399
6,H,H,,400
6,I,I,,401
6,K,K,,402
6,L,L,,403
6,M,M,,404
6,N,N,,405
6,S,S,,406
6,X,X,,407
6,Z,Z,,408
7,\,-,,409
7,D,D,,410
7,E,E,,411
7,F,F,,412
7,G,G,,413
7,H,H,,414
7,I,I,,415
7,K,K,,416
7,L,L,,417
7,M,M,,418
7,N,N,,419
7,S,S,,420
7,X,X,,421
7,Z,Z,,422
8,\,-,,423
8,D,D,,424
8,E,E,,425
8,F,F,,426
8,G,G,,427
8,H,H,,428
8,I,I,,429
8,K,K,,430
8,L,L,,431
8,M,M,,432
8,N,N,,433
8,S,S,,434
8,X,X,,435
8,Z,Z,,436
9,\,-,,437
9,D,D,,438
9,E,E,,439
9,F,F,,440
